# page_id, page_title, page_namespace, rev_id, rev_timestamp, rev_datetime, text_id, txt, txt_ru
'5003', 'Прил_ru_1*a\'', '10', '8065', '20160203151209', '2016/02/03 15:12:09', '8052', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа}}}а<br>{{{основа2}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|часть речи={{{часть речи|Прилагательное}}}\n|тип={{{тип|}}}\n|type=1*a\'\n|степень={{{степень|{{{основа}}}е́е, {{{основа}}}е́й, по{{{основа}}}е́е, по{{{основа}}}е́й}}}\n|Категория={{{Категория|Прилагательные, склонение 1*a\'}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5062', 'Прил_ru_3*a', '10', '8124', '20211009205300', '2021/10/09 20:53:00', '8111', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}|nol={{{nol|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5063', 'Прил_ru_3*a/c', '10', '8125', '20211009205324', '2021/10/09 20:53:24', '8112', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа2}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a/c\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5064', 'Прил_ru_3*a/c\'', '10', '8126', '20211009205338', '2021/10/09 20:53:38', '8113', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа}}}и<br>{{{основа2}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|тип={{{тип|}}}\n|type=3*a/c\'\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5065', 'Прил_ru_3*a/c\"', '10', '8127', '20211009205354', '2021/10/09 20:53:54', '8114', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа}}}о<br>{{{основа2}}}о́\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа}}}и<br>{{{основа2}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a/c\"\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5066', 'Прил_ru_3*a\'', '10', '8128', '20211009205411', '2021/10/09 20:54:11', '8115', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа}}}а<br>{{{основа2}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a\'\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5067', 'Прил_ru_2*a', '10', '8129', '20211009222228', '2021/10/09 22:22:28', '8116', '{{прил ru 2a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=2*a\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5075', 'Прил_ru_1*a/b', '10', '8137', '20211009192432', '2021/10/09 19:24:32', '8124', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа2}}}о́\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа2}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a/b\n|степень={{{степень|[[{{{основа2}}}ее|{{{основа2}}}е́е]], [[{{{основа2}}}ей|{{{основа2}}}е́й]], [[по{{{основа2}}}ее|по{{{основа2}}}е́е]], [[по{{{основа2}}}ей|по{{{основа2}}}е́й]]}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5079', 'Прил_ru_2a/c', '10', '8141', '20211009222441', '2021/10/09 22:24:41', '8128', '{{прил ru 2a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа}}}ь\n|srt-sg-f={{{основа1}}}я́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=2a/c\n|степень={{{степень|{{{основа1}}}е́е, {{{основа1}}}е́й, по{{{основа1}}}е́е, по{{{основа1}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5083', 'Прил_ru_1*a/c\"', '10', '8145', '20211009192522', '2021/10/09 19:25:22', '8132', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа}}}о<br>{{{основа2}}}о́\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа}}}ы<br>{{{основа2}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a/c\"\n|степень={{{степень|{{{основа2}}}е́е, {{{основа2}}}е́й, по{{{основа2}}}е́е, по{{{основа2}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
