# page_id, page_title, page_namespace, rev_id, rev_timestamp, rev_datetime, text_id, txt, txt_ru
'5147', 'Прил_ru_3a/c\"', '10', '8212', '20211009205720', '2021/10/09 20:57:20', '8199', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-n={{{основа}}}о<br>{{{основа1}}}о́\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа}}}и<br>{{{основа1}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3a/c\"^\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5171', 'Прил_ru_3a\'~', '10', '8237', '20211009205830', '2021/10/09 20:58:30', '8224', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа}}}а<br>{{{основа1}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3a\'~\n|степень=\n|дореф={{{дореф|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5360', 'Прил_ru_1a/c\'', '10', '8427', '20220528151229', '2022/05/28 15:12:29', '8413', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа3|{{#if:{{{основа2|}}}|{{особ.ф.|{{{основа2|}}}}}|{{{основа}}}}}}}}\n|srt-sg-n={{#if:{{{основа2|}}}|{{особ.ф.|{{{основа2|}}}о}}|{{{основа}}}о}}\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{#if:{{{основа2|}}}|{{особ.ф.|{{{основа2|}}}ы}}|{{{основа}}}ы}}<br>{{{основа1}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1a/c\'\n|степень={{#if:{{{степень|}}}|{{#ifeq:{{{степень}}}|-||{{{степень}}}}}|{{#if:{{{основа1|}}}|[[{{{основа1}}}ее|{{{основа1}}}е́е]], [[{{{основа1}}}ей|{{{основа1}}}е́й]], [[по{{{основа1}}}ее|по{{{основа1}}}е́е]], [[по{{{основа1}}}ей|по{{{основа1}}}е́й]]}}}}\n|дореф={{{дореф|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5494', 'Прил_ru_1a/c\"', '10', '8565', '20211009192930', '2021/10/09 19:29:30', '8551', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-n={{{основа}}}о<br>{{{основа1}}}о́\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа}}}ы<br>{{{основа1}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|тип={{{тип|}}}\n|type=1a/c\"\n|степень={{{степень|[[{{{основа1}}}ее|{{{основа1}}}е́е]], [[{{{основа1}}}ей|{{{основа1}}}е́й]], [[по{{{основа1}}}ее|по{{{основа1}}}е́е]], [[по{{{основа1}}}ей|по{{{основа1}}}е́й]]}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5500', 'Прил_ru_3aX~', '10', '8571', '20211009205912', '2021/10/09 20:59:12', '8557', '<noinclude>{{semiprotected|nocat=1}}</noinclude>\n{{прил ru 3a\n|краткая=\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3aX~\n|зализняк1=3a✕~\n|степень=\n|дореф={{{дореф|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5502', 'Прил_ru_3a~', '10', '8573', '20211009205945', '2021/10/09 20:59:45', '8559', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3a~\n|степень=\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5835', 'Прил_ru_1a/b', '10', '8911', '20211009193034', '2021/10/09 19:30:34', '8897', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-n={{{основа1}}}о́\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа1}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1a/b\n|степень={{{степень|[[{{{основа1}}}ее|{{{основа1}}}е́е]], [[{{{основа1}}}ей|{{{основа1}}}е́й]], [[по{{{основа1}}}ее|по{{{основа1}}}е́е]], [[по{{{основа1}}}ей|по{{{основа1}}}е́й]].}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'5851', 'Прил_ru_1*a(1)', '10', '8927', '20211009193112', '2021/10/09 19:31:12', '8913', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a(1)\n|степень={{{степень|}}}\n|дореф={{{дореф|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'7793', 'Прил_ru_1*a/c\'', '10', '10877', '20211009193157', '2021/10/09 19:31:57', '10863', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{#if:{{{основа3|}}}|{{особ.ф.|{{{основа3|}}}о}}|{{{основа}}}о}}\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{#if:{{{основа3|}}}|{{особ.ф.|{{{основа3|}}}ы}}|{{{основа}}}ы}}<br>{{{основа2}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a/c\'\n|степень={{{степень|}}}\n|дореф={{{дореф|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'7796', 'Прил_ru_1*a/c', '10', '10880', '20211121105253', '2021/11/21 10:52:53', '10866', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{{основа2}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a/c\n|коммент={{{коммент|}}}\n|степень={{{степень|{{{основа2}}}е́е, {{{основа2}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'7877', 'Прил_ru_1b/c\'', '10', '10962', '20211009221537', '2021/10/09 22:15:37', '10948', '{{прил ru 1b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа2|{{{основа1}}}}}}\n|srt-sg-n={{{основа1}}}о\n|srt-sg-f={{{основа}}}а́\n|srt-pl={{{основа1}}}ы, {{{основа}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1b/c\'\n|степень={{{степень|[[{{{основа}}}ее|{{{основа}}}е́е]], [[{{{основа}}}ей|{{{основа}}}е́й]], [[по{{{основа}}}ее|по{{{основа}}}е́е]], [[по{{{основа}}}ей|по{{{основа}}}е́й]]}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'7918', 'Прил_ru_2*a-', '10', '11003', '20211009222319', '2021/10/09 22:23:19', '10989', '{{прил ru 2a\n|краткая=?\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=2*a-\n|{{#if:{{{степень|}}}|степень={{{основа}}}ее, {{{основа}}}ей, по{{{основа}}}ее, по{{{основа}}}ей}}\n|коммент=Краткая форма муж. р. предположительна.\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'8239', 'Прил_ru_1a\'', '10', '11328', '20211009185446', '2021/10/09 18:54:46', '11314', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа}}}а<br>{{{основа1}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1a\'\n|степень={{{степень|[[{{{основа1}}}ее|{{{основа1}}}е́е]], [[{{{основа1}}}ей|{{{основа1}}}е́й]], [[по{{{основа1}}}ее|по{{{основа1}}}е́е]], [[по{{{основа1}}}ей|по{{{основа1}}}е́й]]}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'8240', 'Прил_ru_1a/c', '10', '11329', '20211228104306', '2021/12/28 10:43:06', '11315', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа1}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1a/c\n|степень={{{степень|[[{{{основа1}}}ее|{{{основа1}}}е́е]], [[{{{основа1}}}ей|{{{основа1}}}е́й]], [[по{{{основа1}}}ее|по{{{основа1}}}е́е]], [[по{{{основа1}}}ей|по{{{основа1}}}е́й]]}}}\n|дореф={{{дореф|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'8750', 'Прил_ru_1bX', '10', '11845', '20211009221812', '2021/10/09 22:18:12', '11831', '{{прил ru 1b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{-}}\n|srt-sg-n={{incorrect|{{{основа}}}о́}}\n|srt-sg-f={{incorrect|{{{основа}}}а́}}\n|srt-pl={{incorrect|{{{основа}}}ы́}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|часть речи={{{часть речи|Прилагательное}}}\n|тип={{{тип|}}}\n|type=1bX\n|зализняк1=1b&#8864;\n|степень={{#if:{{{степень|}}}|{{{основа}}}е́е, {{{основа}}}е́й, по{{{основа}}}е́е, по{{{основа}}}е́й}}\n|коммент=Краткая форма муж. р. не используется, образование остальных кратких форм затруднено.\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'11135', 'Прил_ru_1b/c', '10', '14316', '20211009221515', '2021/10/09 22:15:15', '14300', '{{прил ru 1b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа1}}}о\n|srt-sg-f={{{основа}}}а́\n|srt-pl={{{основа1}}}ы\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|тип={{{тип|}}}\n|type=1b/c\n|степень={{{степень|{{{основа}}}е́е, {{{основа}}}е́й, по{{{основа}}}е́е, по{{{основа}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'12853', 'Прил_ru_3b/c\'', '10', '16081', '20211009222743', '2021/10/09 22:27:43', '16065', '{{прил ru 3b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа1}}}о\n|srt-sg-f={{{основа}}}а́\n|srt-pl={{{основа1}}}и, {{{основа}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3b/c\'\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'14433', 'Прил_ru_(мс_6*a)', '10', '17698', '20211009225819', '2021/10/09 22:58:19', '17679', '{{прил\n|nom-sg-m={{{основа}}}ий\n|nom-sg-n={{{основа}}}ье\n|nom-sg-f={{{основа}}}ья\n|nom-pl={{{основа}}}ьи\n|gen-sg-m={{{основа}}}ьего\n|gen-sg-n={{{основа}}}ьего\n|gen-sg-f={{{основа}}}ьей\n|gen-pl={{{основа}}}ьих\n|dat-sg-m={{{основа}}}ьему\n|dat-sg-n={{{основа}}}ьему\n|dat-sg-f={{{основа}}}ьей\n|dat-pl={{{основа}}}ьим\n|acc-sg-m-a={{{основа}}}ьего\n|acc-sg-m-n={{{основа}}}ий\n|acc-sg-n={{{основа}}}ье\n|acc-sg-f={{{основа}}}ью\n|acc-pl-a={{{основа}}}ьих\n|acc-pl-n={{{основа}}}ьи\n|ins-sg-m={{{основа}}}ьим\n|ins-sg-n={{{основа}}}ьим\n|ins-sg-f={{{основа}}}ьей {{{основа}}}ьею\n|ins-pl={{{основа}}}ьими\n|prp-sg-m={{{основа}}}ьем\n|prp-sg-n={{{основа}}}ьем\n|prp-sg-f={{{основа}}}ьей\n|prp-pl={{{основа}}}ьих\n}}\n{{прил ru\n|скл=мс\n|слоги={{{слоги|}}}\n|основа={{{основа|}}}\n|тип={{#if:{{{тип|}}}|{{{тип|}}}|притяжательное}}\n|дореф={{{дореф|}}}\n|зализняк=6*a\n|зализняк1=<мс 6*a>\n|anim={{{anim|}}}\n|род={{{род|}}}\n|степень={{{степень|}}}\n|hide-text={{{hide-text|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'15483', 'Прил_ru_1*a/b(2)', '10', '18757', '20211009191000', '2021/10/09 19:10:00', '18738', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа2}}}\n|srt-sg-n={{{основа1}}}о́\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа1}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a/b(2)\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'15753', 'Прил_ru', '10', '19051', '20211019221012', '2021/10/19 22:10:12', '19031', '<noinclude>{{semiprotected|nocat=1}}</noinclude>{{#if:{{{hide-text|}}}||<b>{{{слоги|}}}</b> <!--\n-->{{#if:{{{дореф|}}}|({{comment|дореформ.|написание в дореформенной орфографии}} {{Old-ru|{{aslinks|{{{дореф}}}}}}})}}\n\n{{{часть речи|[[прилагательное|Прилагательное]]}}}<!--\n  -->{{#switch:{{{anim}}}<!--\n    -->|yes=, одушевлённое<!--\n    -->|no=, неодушевлённое<!--\n  -->}}<!-- \n\n  -->{{#switch:{{{род}}}<!--\n    -->|м|муж|m =, мужской род<!--\n    -->|ж|жен|f=, женский род<!--\n    -->|с|ср|n=, средний род<!--\n  -->}}<!-- \n\n  -->{{#switch:{{{тип|}}}<!--\n    -->|к|кач|качественное=, [[качественное прилагательное|качественное]] <!--\n    -->|о|отн|относительное=, [[относительное прилагательное|относительное]] <!--\n    -->|п|пр|притяжательное=, [[притяжательное прилагательное|притяжательное]] <!--\n    -->|ко|качественное и относительное=, [[качественное прилагательное|качественное]] и [[относительное прилагательное|относительное]] <!--\n    -->|#default=, {{{тип}}}<!--\n    -->|=<!--\n  -->}}<!--\n\n  -->{{#ifeq:{{{зализняк|}}}|0|, неизменяемое}}, тип склонения по <!--\n  -->[[Викисловарь:Использование словаря Зализняка|классификации А.&#160;Зализняка]]&#160;— {{#if:{{{зализняк1|}}}|<!--\n    -->{{{зализняк1}}}|{{{зализняк|??}}}}}. <!--\n\n  -->{{#if:{{{степень|}}}<!--\n    -->|Сравнительная степень&nbsp;— \'\'<!--\n      -->{{#switch:{{{степень}}}<!--\n        -->|=<!--\n        -->|1={{aslinks|{{{основа}}}ее, {{{основа}}}ей}}<!--\n        -->|{{aslinks|{{{степень}}}}}<!--\n      -->}}.\'\'<!--\n  -->}}<!--\n\n  -->{{#if:{{{коммент|}}}|&nbsp;{{{коммент}}}}}<!--\n-->}}<includeonly>{{#if:{{NAMESPACE}}||<!-- \n-->[[Категория:Русские лексемы]][[Категория:Русские прилагательные]]<!--\n-->{{#switch:{{{anim}}}<!--\n  -->|yes=[[Категория:Одушевлённые]]<!--\n  -->|no=[[Категория:Неодушевлённые]]<!--\n-->}}<!--\n-->{{#switch:{{{род}}}<!--\n  -->|м|муж|m=[[Категория:Мужской род]]<!--\n  -->|ж|жен|f=[[Категория:Женский род]]<!--\n  -->|с|ср|n=[[Категория:Средний род]]<!--\n-->}}<!-- \n-->{{#switch:{{{тип|}}}<!--\n  -->|к|кач|качественное=[[Категория:Русские качественные прилагательные]]<!--\n  -->|о|отн|относительное=[[Категория:Русские относительные прилагательные]]<!--\n  -->|п|пр|притяжательное=[[Категория:Русские притяжательные прилагательные]]<!--\n  -->|ко|качественное и относительное=[[Категория:Русские качественные прилагательные]]<!--\n     -->[[Категория:Русские относительные прилагательные]]<!--\n-->}}<!--\n-->{{#switch:{{{зализняк|??}}}<!--\n  -->|??|=[[Категория:Нужна классификация по Зализняку/ru|{{lc:{{PAGENAME}}}}]]<!--\n  -->|0=[[Категория:Несклоняемые прилагательные/ru|{{lc:{{PAGENAME}}}}]]<!--\n  -->|#default=[[Категория:Прилагательные, {{#ifeq:{{{скл|}}}|мс|местоименное склонение|склонение}} {{{зализняк}}}]]<!--\n-->}}}}</includeonly><noinclude>\n{{doc}}\n[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'55958', 'Прил_ru_3a/c\'', '10', '60354', '20211009210009', '2021/10/09 21:00:09', '60334', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа}}}и<br>{{{основа1}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3a/c\'\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'67303', 'Прил_ru_3*a/b', '10', '71855', '20211009210026', '2021/10/09 21:00:26', '71834', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа2}}}о́\n|srt-sg-f={{{основа2}}}а́\n|srt-pl={{{основа2}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*a/b\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'99769', 'Прил_ru_2*a^', '10', '104867', '20211009222336', '2021/10/09 22:23:36', '104846', '{{прил ru 2a\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-f={{особ.ф.|{{{основа}}}а}}\n|srt-sg-n={{{основа}}}е\n|srt-pl={{{основа}}}и\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=2*a\n|степень={{#if:{{{степень|}}}|{{{основа}}}ее, {{{основа}}}ей, по{{{основа}}}ее, по{{{основа}}}ей}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'101336', 'Прил_ru_4a/c', '10', '106452', '20211009223235', '2021/10/09 22:32:35', '106431', '{{прил ru 4a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа1}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=4a/c\n|степень={{{степень|{{{основа1}}}е́е, {{{основа1}}}е́й, по{{{основа1}}}е́е, по{{{основа1}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'102169', 'Прил_ru_4bX', '10', '107289', '20211009223513', '2021/10/09 22:35:13', '107268', '{{прил ru 4b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{srt-sg-m|-}}}\n|srt-sg-n={{incorrect|{{{основа}}}о́}}\n|srt-sg-f={{incorrect|{{{основа}}}а́}}\n|srt-pl={{{основа}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=4bX\n|степень={{{степень|{{{основа}}}е́е, {{{степень|{{{основа}}}е́й, по{{{основа}}}е́е}}}, по{{{основа}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'104820', 'Прил_ru_3bX~', '10', '109954', '20211009222929', '2021/10/09 22:29:29', '109933', '{{прил ru 3b\n|краткая=\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3bX~\n|степень=\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'105192', 'Прил_ru_3a\'', '10', '110327', '20211009210104', '2021/10/09 21:01:04', '110306', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа}}}а<br>{{{основа1}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3a\'\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'106789', 'Прил_ru_3*aX~', '10', '111937', '20211009210155', '2021/10/09 21:01:55', '111916', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{incorrect|{{{основа1}}}}}\n|srt-sg-n={{incorrect|{{{основа}}}о}}\n|srt-sg-f={{incorrect|{{{основа}}}а}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3*aX~\n|зализняк1=3*a✕~\n|степень=\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'106797', 'Прил_ru_3a/c', '10', '111945', '20211009210210', '2021/10/09 21:02:10', '111924', '{{прил ru 3a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-f={{{основа1}}}а́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=3a/c\n|степень={{{степень|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'108985', 'Прил_ru_1*a((1))', '10', '114168', '20211009185028', '2021/10/09 18:50:28', '114147', '{{прил ru 1a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}ен<br>{{{основа1}}}\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*a((1))\n|степень={{{степень|}}}\n|дореф={{{дореф|}}}\n|коммент={{{коммент|}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'109279', 'Прил_ru_1*b/c\"', '10', '114475', '20211009221416', '2021/10/09 22:14:16', '114454', '{{прил ru 1b\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-m={{{основа1}}}\n|srt-sg-n={{{основа2}}}о<br>{{{основа}}}о́\n|srt-pl={{{основа2}}}ы<br>{{{основа}}}ы́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=1*b/c\"\n|степень={{{степень|{{{основа}}}е́е, {{{основа}}}е́й, по{{{основа}}}е́е, по{{{основа}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'109713', 'Прил_ru_4a/b', '10', '114910', '20211009223140', '2021/10/09 22:31:40', '114889', '{{прил ru 4a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-n={{{основа1}}}о́\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа1}}}и́\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|type=4a/b\n|степень={{{степень|{{{основа1}}}е́е, {{{основа1}}}е́й, по{{{основа1}}}е́е, по{{{основа1}}}е́й}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
'111348', 'Прил_ru_4a/b\'', '10', '116555', '20211009223203', '2021/10/09 22:32:03', '116534', '{{прил ru 4a\n|краткая=1\n|anim={{{anim|}}}\n|основа={{{основа}}}\n|srt-sg-n={{{основа1}}}о́\n|srt-sg-f={{{основа1}}}а́\n|srt-pl={{{основа1}}}и́<br>{{{основа}}}и\n|nom={{{nom|}}}|non={{{non|}}}|nof={{{nof|}}}\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|тип={{{тип|}}}\n|дореф={{{дореф|}}}\n|type=4a/b\'\n|степень={{aslinks|{{{степень|{{{основа1}}}е́е, {{{основа1}}}е́й, по{{{основа1}}}е́е, по{{{основа1}}}е́й}}}}}\n}}<noinclude>[[Категория:Шаблоны словоизменений/Прилагательные]]</noinclude>', NULL
